,minutes_played,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating,role_Attacker,role_Defender,role_Midfielder
20095,0.1176470588235294,3,1,0,0,1.0,0,0,0.0,0,0,0,3,2,0,3,10,0,0,0,1,2,1,2,1,0,0,1,0,0,0,1,0,0,0,7.0,0,0,1
20096,0.2352941176470588,23,0,0,0,1.0,0,0,0.0,0,0,1,3,1,1,23,31,0,0,0,0,1,1,1,3,0,0,4,2,1,0,1,0,0,0,6.9,0,0,1
20097,0.7478991596638656,55,0,0,0,0.86,3,1,0.0,2,0,1,10,0,4,64,96,0,1,0,0,1,0,4,4,1,1,3,1,1,2,0,0,0,0,6.4,0,1,0
20098,0.7478991596638656,68,0,0,0,0.94,0,0,0.0,0,0,10,0,0,11,72,81,6,2,2,0,0,0,9,3,1,2,7,1,0,0,0,0,0,0,5.8,0,1,0
20099,0.7478991596638656,69,0,0,0,0.93,0,0,0.0,0,0,12,0,0,16,74,89,2,0,5,2,0,0,5,2,0,1,4,2,1,0,0,0,0,0,6.0,0,1,0
20100,0.7478991596638656,53,1,1,0,0.83,0,0,0.0,0,0,2,6,1,5,64,96,1,1,1,0,1,0,4,7,0,0,9,4,1,2,0,0,0,0,7.2,0,1,0
20101,0.6218487394957983,25,0,0,0,0.89,0,0,0.0,0,0,1,1,1,1,28,38,5,0,0,2,0,0,11,3,1,1,5,0,0,3,0,1,0,0,5.8,0,0,1
20102,0.5042016806722689,45,0,0,0,0.85,0,0,0.0,0,0,1,1,0,3,53,66,2,2,2,0,1,1,6,8,0,2,9,4,0,1,0,1,1,0,7.2,0,0,1
20103,0.7478991596638656,77,0,0,0,0.88,3,0,0.33,2,1,5,3,1,7,88,105,3,3,1,0,1,1,4,9,0,1,9,4,4,1,0,0,0,0,8.0,0,0,1
20104,0.5546218487394958,29,0,0,0,0.88,0,0,0.0,0,0,1,7,2,3,33,44,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,7.0,0,0,1
20105,0.7478991596638656,25,0,0,0,0.81,3,0,0.33,2,1,1,6,0,1,31,49,0,3,0,2,3,3,4,6,1,0,2,0,0,0,0,0,1,0,6.9,0,0,1
20106,0.7478991596638656,6,0,2,3,0.4,4,0,1.0,0,4,0,3,1,2,15,32,2,4,0,2,2,2,8,8,3,0,4,1,1,1,0,0,1,0,9.7,1,0,0
20107,0.0,2,0,0,0,1.0,1,0,1.0,0,1,0,0,1,0,2,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,6.0,0,0,1
20108,0.06722689075630252,5,0,0,0,1.0,0,0,0.0,0,0,0,0,2,0,5,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,6.0,0,0,1
20109,0.15126050420168066,4,0,0,0,0.5,0,0,0.0,0,0,1,0,0,1,8,12,3,2,0,1,0,0,4,4,0,0,1,0,0,2,1,0,0,0,6.0,1,0,0
20110,0.7478991596638656,34,1,0,0,0.85,0,0,0.0,0,0,3,3,2,3,40,61,1,0,4,0,0,0,2,6,0,0,9,4,2,2,0,0,0,0,7.9,0,1,0
20111,0.7478991596638656,30,0,1,1,0.79,1,0,1.0,0,1,5,0,0,11,38,54,0,3,6,0,0,0,0,8,0,1,3,4,3,1,0,0,0,0,8.3,0,1,0
20112,0.7478991596638656,43,0,0,0,0.91,0,0,0.0,0,0,4,0,0,5,47,54,0,1,4,0,0,0,1,2,1,1,4,0,0,1,0,0,1,0,6.8,0,1,0
20113,0.7478991596638656,28,1,1,0,0.72,0,0,0.0,0,0,5,5,2,10,39,72,0,0,5,2,1,1,3,2,1,0,9,1,1,0,0,0,0,0,7.6,0,0,1
20114,0.7478991596638656,42,0,0,0,0.93,0,0,0.0,0,0,0,0,0,0,45,58,0,0,0,1,2,2,2,7,0,0,6,1,1,4,0,0,0,0,7.1,0,0,1
20115,0.7478991596638656,37,0,0,0,0.93,1,0,1.0,0,1,1,0,0,1,40,50,0,0,1,0,1,1,2,5,2,1,5,1,0,3,0,0,0,0,7.0,0,0,1
20116,0.7394957983193278,30,0,1,0,0.94,2,0,0.0,2,0,1,1,3,2,32,46,1,1,0,2,2,1,6,6,2,0,9,2,1,2,0,1,0,0,7.4,0,0,1
20117,0.7478991596638656,36,0,1,1,0.84,7,3,0.43,0,3,2,4,1,5,43,70,0,0,0,3,2,2,4,5,1,0,7,2,2,1,0,0,0,0,8.1,1,0,0
20118,0.6722689075630253,20,0,0,0,0.71,3,1,0.33,1,1,1,0,2,2,28,48,1,1,0,0,2,1,5,6,2,0,4,3,1,1,0,1,0,0,7.2,1,0,0
20119,0.5882352941176471,11,0,0,1,0.79,2,0,0.5,1,1,0,0,0,1,14,24,2,4,0,1,0,0,6,5,2,0,1,0,0,1,0,1,0,0,7.4,1,0,0
20120,0.3529411764705882,16,0,0,0,0.89,0,0,0.0,0,0,1,0,0,1,18,20,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,6.3,0,0,1
20121,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,0,0,1
20122,0.2857142857142857,2,0,0,0,0.67,0,0,0.0,0,0,0,0,0,0,3,10,0,0,1,0,0,0,1,4,0,1,1,1,0,3,1,0,0,0,6.4,1,0,0
20123,0.2521008403361344,12,0,0,0,0.67,2,1,0.0,1,0,1,1,0,2,18,28,0,0,0,0,1,1,0,3,0,0,1,1,0,1,1,0,0,0,6.5,1,0,0
20124,1.0,48,0,0,0,0.8,1,0,0.0,1,0,4,5,0,9,60,91,0,2,4,0,0,0,4,5,2,0,8,1,0,2,0,0,0,0,7.4,0,1,0
20125,1.0,72,0,0,1,0.83,1,0,1.0,0,1,3,0,1,11,87,100,3,5,4,0,0,0,3,8,0,2,8,2,1,1,0,0,0,0,8.3,0,1,0
20126,1.0,86,0,0,0,0.99,0,0,0.0,0,0,5,0,0,5,87,92,3,1,1,0,0,0,4,2,1,2,1,1,0,0,0,0,1,0,6.7,0,1,0
