,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,pass_success,total_shots,shot_accuracy,shot_off_target,shot_on_target,accurate_long_balls,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
53,1,2,0.7478991596638656,0,1,1,5,21,0.7241379310344828,0,0.0,0,0,7,0,15,29,37,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5.9
54,1,0,0.7478991596638656,1,3,3,3,9,0.39130434782608703,0,0.0,0,0,3,0,17,23,31,0,1,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6.3
55,0,0,0.7478991596638656,0,0,0,3,19,0.76,0,0.0,0,0,8,0,14,25,28,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4.8
56,2,0,0.7478991596638656,0,3,2,9,19,0.7037037037037037,0,0.0,0,0,11,0,19,27,42,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6.6
57,1,0,0.7478991596638656,0,4,3,6,22,0.9565217391304348,0,0.0,0,0,2,0,3,23,35,0,0,0,0,0,0,1,1,0,0,7,1,1,0,0,0,0,0,7.7
58,2,0,0.7478991596638656,0,2,1,3,11,0.4230769230769231,0,0.0,0,0,5,0,20,26,32,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7.6
59,0,0,0.7478991596638656,1,0,0,2,11,0.5789473684210527,0,0.0,0,0,3,0,11,19,22,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4.3
60,2,0,0.7478991596638656,0,3,2,0,10,0.38461538461538464,0,0.0,0,0,5,0,21,26,32,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7.8
61,0,0,0.7478991596638656,0,1,0,3,7,0.3333333333333333,0,0.0,0,0,1,0,15,21,26,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5.8
62,3,0,0.7478991596638656,1,4,3,8,11,0.5238095238095238,0,0.0,0,0,1,0,10,21,34,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6.7
63,0,0,0.7478991596638656,0,1,0,2,32,0.7804878048780488,0,0.0,0,0,3,0,12,41,47,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,7.1
64,2,0,0.7478991596638656,1,3,3,1,8,0.3636363636363637,0,0.0,0,0,7,0,21,22,30,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8.0
65,1,3,0.7478991596638656,0,5,2,2,25,0.6944444444444444,0,0.0,0,0,10,0,21,36,47,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5.8
66,0,0,0.7478991596638656,0,0,0,3,17,0.8947368421052632,0,0.0,0,0,0,0,2,19,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6.8
67,4,0,0.7478991596638656,0,4,3,7,15,0.7142857142857143,0,0.0,0,0,5,0,10,21,33,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7.1
68,1,0,0.7478991596638656,0,3,2,2,9,0.3,0,0.0,0,0,8,0,29,30,36,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5.0
69,4,0,0.7478991596638656,1,5,2,7,17,0.5862068965517241,0,0.0,0,0,7,0,19,29,44,0,0,1,1,0,0,1,0,0,0,16,0,0,0,0,0,0,0,6.8
70,4,0,0.7478991596638656,0,5,4,3,8,0.5,0,0.0,0,0,6,0,14,16,26,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8.4
71,0,0,0.7478991596638656,0,2,1,2,15,0.4545454545454545,0,0.0,0,0,5,0,23,33,38,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,7.3
72,1,0,0.7478991596638656,0,3,1,9,26,0.7878787878787878,0,0.0,0,0,8,0,15,33,47,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7.8
73,1,0,0.7478991596638656,0,2,1,4,8,0.4,0,0.0,0,0,5,0,17,20,29,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,7.6
74,0,0,0.7478991596638656,0,0,0,7,14,0.6666666666666666,0,0.0,0,0,10,0,17,21,31,0,0,0,0,0,0,0,2,0,0,8,1,1,1,0,0,0,0,6.6
75,0,2,0.7478991596638656,0,0,0,2,20,0.9523809523809524,0,0.0,0,0,6,0,6,21,24,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5.1
76,1,0,0.7478991596638656,1,3,2,2,13,0.52,0,0.0,0,0,11,0,23,25,34,0,1,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,7.7
77,4,5,0.7478991596638656,1,7,4,7,10,0.5263157894736842,0,0.0,0,0,2,0,11,19,35,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6.4
78,3,4,0.7478991596638656,0,3,1,2,8,0.26666666666666666,0,0.0,0,0,3,0,25,30,35,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5.0
79,1,0,0.7478991596638656,1,3,2,3,12,0.42857142857142855,0,0.0,0,0,8,0,23,28,37,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7.5
80,1,0,0.7478991596638656,0,1,0,1,15,0.6,0,0.0,0,0,9,0,19,25,28,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.5
81,3,0,0.7478991596638656,0,4,3,7,11,0.5789473684210527,0,0.0,0,0,1,0,9,19,32,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,7.1
