player_id,name,role,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
301456,Jeison Murillo,Defender,,,,4,,,,,6,0,0,0,100%,1,1,0%,0,0,0,1,0,0,1,6,13,0,0,0,1,2,2,1,3,0,0,1,1,0,0,1,0,,,
71768,Albin Ekdal,Midfielder,,,,8,,,,,13,0,0,0,100%,0,0,0%,0,0,0,1,0,0,1,13,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,
252650,Gianluca Caprari,Attacker,,,,14,,,,,3,0,1,1,100%,3,0,67%,1,2,0,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,,7.3
602845,Emil Audero,Keeper,0,0,0,90,0,3,2,3,11,,,,,0,0,0%,0,0,0,7,0,0,25,29,40,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,,,,6.6
198099,Bartosz Bereszynski,Defender,,,,86,,,,,29,0,0,0,76%,0,0,0%,0,0,0,1,3,0,5,38,62,1,0,1,2,1,1,3,1,0,0,4,0,0,0,0,1,,,6.3
163918,Vasco Regini,Defender,,,,90,,,,,28,0,0,0,80%,0,0,0%,0,0,0,3,1,0,7,35,48,1,3,3,0,0,0,3,6,2,1,5,2,0,1,0,,,,6.7
867080,Julian Chabot,Defender,,,,90,,,,,35,0,0,0,90%,0,0,0%,0,0,0,4,0,0,7,39,48,0,1,3,0,1,1,2,3,1,3,5,1,0,0,0,,,,7.1
281760,Nicola Murru,Defender,,,,90,,,,,16,0,0,0,59%,0,0,0%,0,0,0,0,6,2,3,27,53,0,2,2,0,2,2,3,7,2,0,6,2,1,1,0,,1,,7.5
439148,Morten Thorsby,Midfielder,,,,90,,,,,44,0,0,0,76%,0,0,0%,0,0,0,1,0,1,3,58,71,2,8,3,0,0,0,6,12,3,1,8,4,2,1,0,,,,7.5
748405,Ronaldo Vieira,Midfielder,,,,82,,,,,41,0,0,0,87%,2,1,0%,1,0,0,4,1,0,5,47,58,3,1,1,1,0,0,6,4,2,0,4,3,1,0,0,1,1,,6.5
361403,Karol Linetty,Midfielder,,,,90,,,,,31,1,2,1,79%,2,0,50%,1,1,0,0,4,6,1,39,61,4,0,0,3,2,2,8,5,2,1,4,1,1,2,0,,,,8.7
